UniProtID,degree,betweenness_centrality,clustering_coefficent
Q14849,1,0.0,0.0
P01009,36,0.0004913091748059463,0.02857142857142857
P01008,7,6.626330950100017e-06,0.09523809523809523
Q9H7M9,2,1.3627116708601563e-07,0.0
Q01581,9,1.8499244319233441e-06,0.1111111111111111
Q8N2R0,1,0.0,0.0
P02763,8,8.249144182508477e-06,0.0
B7U540,16,5.763031646704658e-06,0.25
Q9BXB4,10,6.112540247407685e-05,0.17777777777777778
P23276,7,5.482447235679151e-05,0.09523809523809523
Q8IYD1,19,1.3973544896273085e-05,0.3508771929824561
P08034,10,5.300926020688165e-05,0.2
Q9BXB1,5,2.0314370617792683e-05,0.4
Q13007,5,1.7156811070141712e-05,0.0
Q8NGN1,1,0.0,0.0
Q13009,37,0.0001345331833023362,0.09309309309309309
O75391,1,0.0,0.0
Q8IYD8,25,8.192664294431563e-05,0.2633333333333333
O75396,43,0.0002903917236906834,0.10299003322259136
O75394,1,0.0,0.0
Q9Y4F9,6,9.86305868720882e-07,0.2
P51522,3,1.8109923832471115e-07,0.3333333333333333
Q8IVD9,13,7.660302050004208e-06,0.10256410256410256
Q8TE68,6,1.4515620964652677e-06,0.06666666666666667
Q9Y4F1,2,2.6180329507424613e-06,0.0
Q8TE67,5,1.56353663791133e-06,0.0
Q9Y4F3,3,2.8041164345873137e-06,0.3333333333333333
Q99075,12,1.3270302284233221e-05,0.13636363636363635
P78352,118,0.002604230572787136,0.04983340576560916
Q86YH7,5,1.5342930220422778e-05,0.2
Q8N326,1,0.0,0.0
Q96R67,1,0.0,0.0
P46013,30,4.0723580169998045e-05,0.14022988505747128
Q66K89,15,1.7807851867677656e-05,0.2
Q6NTA2,1,0.0,0.0
Q8WVD5,4,1.0820676699658445e-06,0.3333333333333333
Q8WVD2,1,0.0,0.0
Q8WVD3,16,5.413470132377983e-05,0.11666666666666667
P46019,9,7.531614349330994e-06,0.1111111111111111
Q9NPG3,10,1.0255276505403598e-05,0.24444444444444444
P98073,2,1.0418249203048204e-05,0.0
Q9NPG1,3,8.821676047316374e-07,0.0
O94979,15,8.754418252061097e-06,0.13333333333333333
P42772,15,4.225800959603636e-05,0.05714285714285714
P42773,23,2.2058677089260474e-05,0.08695652173913043
Q9BSD3,2,0.0,1.0
P42771,146,0.0006973176488865222,0.0684931506849315
O94972,38,0.00017344137322254533,0.08819345661450925
O94973,30,7.037109761848031e-05,0.21839080459770116
P68543,6,2.1137442794296642e-06,0.06666666666666667
Q9NPG8,1,0.0,0.0
P30466,24,8.153181909546742e-06,0.07971014492753623
Q5T3J3,132,0.0007634902687647386,0.03261623872310895
P30154,72,0.00017577250849274158,0.1189358372456964
Q8WXH0,19,3.447126721088852e-05,0.04678362573099415
Q8TC07,26,4.119154025181831e-05,0.08
Q8TC05,2,2.759068833182965e-08,0.0
P41970,11,8.000967485838391e-06,0.16363636363636364
Q9UGC6,4,3.729498052969895e-06,0.3333333333333333
P62633,62,0.0002291935237666768,0.12057112638815441
Q9UI09,20,3.780764616522033e-05,0.1368421052631579
Q8N4X5,8,1.1734694148766158e-05,0.42857142857142855
Q96JL9,1,0.0,0.0
Q8WV16,7,1.0887019956035995e-06,0.6666666666666666
Q8WV19,1,0.0,0.0
H7BXZ6,1,0.0,0.0
E7EWM3,2,5.194674346161894e-07,0.0
Q5M8T4,2,6.209911121036999e-07,0.0
Q8TC84,1,0.0,0.0
Q9HCQ7,3,0.0,1.0
Q9H0W5,8,1.205693460754093e-06,0.2857142857142857
Q6NUI1,1,0.0,0.0
P19440,5,1.1510913066453257e-06,0.4
Q9Y4K3,469,0.00610879156384956,0.02722650483844514
P19447,39,0.00011113509720032559,0.18488529014844804
Q14847,21,4.811288836683647e-05,0.09047619047619047
P26651,34,0.00017396726179445915,0.09982174688057041
Q16518,2,0.00013491458198183084,0.0
